userId,movieId,rating,timestamp
1,1,4.0,964982703
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,110,4.0,964982176
1,223,3.0,964980985
1,231,5.0,964981179
1,260,5.0,964981680
1,296,3.0,964982967
1,316,3.0,964982310
1,349,4.0,964982563
1,356,4.0,964980962
1,367,4.0,964981710
1,457,5.0,964981909
1,480,4.0,964982346
1,500,3.0,964981208
1,527,5.0,964984002
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,608,5.0,964982931
1,648,3.0,964982563
1,733,4.0,964982400
1,736,3.0,964982653
1,780,3.0,964984086
1,919,5.0,964982475
1,1073,5.0,964981680
1,1080,5.0,964981327
1,1089,5.0,964982951
1,1097,5.0,964981680
1,1136,5.0,964981327
1,1196,5.0,964981827
1,1197,5.0,964981872
1,1198,5.0,964981827
1,1206,5.0,964983737
1,1208,4.0,964983250
1,1210,5.0,964980499
1,1213,5.0,964982951
1,1214,4.0,964981855
1,1219,2.0,964983393
1,1220,5.0,964981909
1,1222,5.0,964981909
1,1240,5.0,964983723
1,1258,3.0,964983414
1,1265,4.0,964983599
1,1270,5.0,964983705
1,1291,5.0,964981909
1,1517,5.0,964981107
1,1580,3.0,964981125
1,1617,5.0,964982951
1,1732,5.0,964981125
1,2012,4.0,964984176
1,2028,4.0,964981888
1,2115,5.0,964982529
1,2174,4.0,964981680
1,2329,5.0,964983263
1,2502,5.0,964981278
1,2571,5.0,964981888
1,2617,2.0,964982588
1,2628,4.0,964980523
1,2716,5.0,964983414
1,2797,4.0,964981710
1,2858,5.0,964980868
1,2916,4.0,964982290
1,2959,5.0,964983282
1,2987,5.0,964982495
1,2997,4.0,964980896
1,3147,5.0,964983873
1,3578,5.0,964980668
1,3793,5.0,964981855
3,527,0.5,1306464275
3,3949,0.5,1306464245
4,21,3.0,986935199
4,32,2.0,945173447
4,47,2.0,945173425
4,260,5.0,945079259
4,296,1.0,945173350
4,357,3.0,964623306
4,457,5.0,945079259
4,539,1.0,964538832
4,588,4.0,945079670
4,593,5.0,964539986
4,595,3.0,986848609
4,608,5.0,964540008
4,648,3.0,945079906
4,904,4.0,945079837
4,912,5.0,945173902
4,919,5.0,945079521
4,1073,4.0,945079483
4,1080,5.0,986934696
4,1136,5.0,986934625
4,1196,5.0,964538763
4,1197,5.0,964538763
4,1198,3.0,964538728
4,1213,4.0,945079729
4,1219,4.0,964539961
4,1259,4.0,964538728
4,1265,4.0,964622684
